transaction_id;client_id;montant;pays_destination;pays_client;heure;est_suspecte;score_montant;score_pays_destination;score_client;score_nocturne;score_risque;niveau_risque;date_calcul;horodatage_alerte;statut_alerte
TXN-007258;CLT-0069;22636,73;Panama;Panama;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-000475;CLT-0069;88120,46;Îles Caïmans;Panama;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-000493;CLT-0089;55114,43;Panama;Îles Caïmans;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-000322;CLT-0018;66225,26;Panama;Panama;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-000338;CLT-0099;43571,42;Panama;Panama;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-005435;CLT-0005;52887,3;Îles Caïmans;Panama;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-007241;CLT-0031;44560,8;Panama;Panama;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-007199;CLT-0065;46399,64;Îles Caïmans;Îles Caïmans;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-006533;CLT-0095;45671,56;Îles Caïmans;Îles Caïmans;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-009589;CLT-0063;52016,45;Panama;Îles Caïmans;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-009592;CLT-0069;36388,31;Panama;Panama;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-000373;CLT-0037;70830,77;Îles Caïmans;Îles Caïmans;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-006596;CLT-0031;43191,67;Îles Caïmans;Panama;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-007335;CLT-0012;89772,0;Panama;Panama;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-007393;CLT-0096;78856,71;Panama;Panama;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-008397;CLT-0010;53447,63;Îles Caïmans;Îles Caïmans;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-006369;CLT-0059;56073,3;Panama;Îles Caïmans;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-006628;CLT-0082;38366,47;Panama;Panama;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-006374;CLT-0082;87188,73;Panama;Panama;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-007445;CLT-0089;80272,97;Panama;Îles Caïmans;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-006403;CLT-0089;68885,35;Îles Caïmans;Îles Caïmans;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-008882;CLT-0059;21065,74;Panama;Îles Caïmans;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-008963;CLT-0082;90916,93;Îles Caïmans;Panama;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-008129;CLT-0017;50693,97;Îles Caïmans;Îles Caïmans;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-006548;CLT-0017;67995,62;Panama;Îles Caïmans;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-005832;CLT-0010;49119,51;Îles Caïmans;Îles Caïmans;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-009130;CLT-0018;47970,42;Îles Caïmans;Panama;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-000393;CLT-0012;15796,84;Panama;Panama;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-006269;CLT-0089;30993,05;Panama;Îles Caïmans;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-006788;CLT-0010;27423,88;Îles Caïmans;Îles Caïmans;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-007509;CLT-0005;56468,79;Panama;Panama;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-009293;CLT-0085;74998,28;Îles Caïmans;Îles Caïmans;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-009298;CLT-0031;48004,71;Îles Caïmans;Panama;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-005877;CLT-0079;14524,64;Panama;Îles Caïmans;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-008158;CLT-0069;74540,18;Îles Caïmans;Panama;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-006964;CLT-0067;58897,63;Panama;Panama;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-005886;CLT-0059;23766,61;Îles Caïmans;Îles Caïmans;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-008465;CLT-0005;31365,36;Îles Caïmans;Panama;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-000623;CLT-0038;23199,06;Panama;Îles Caïmans;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-007547;CLT-0005;50707,36;Îles Caïmans;Panama;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-008507;CLT-0099;50856,27;Îles Caïmans;Panama;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-007014;CLT-0095;26875,72;Îles Caïmans;Îles Caïmans;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-007597;CLT-0099;57589,77;Panama;Panama;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-000645;CLT-0038;38897,09;Panama;Îles Caïmans;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-000912;CLT-0047;69441,72;Îles Caïmans;Îles Caïmans;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-007063;CLT-0099;89408,75;Panama;Panama;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-000675;CLT-0085;27244,23;Panama;Îles Caïmans;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-000253;CLT-0047;13849,3;Îles Caïmans;Îles Caïmans;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
TXN-007105;CLT-0099;26456,65;Îles Caïmans;Panama;14;1;40;25;20;0;85;CRITIQUE;2026-05-14 11:56:32;2026-05-14 11:56:33;OUVERTE
