transaction_id,client_id,date_transaction,montant,devise,type_transaction,pays_destination,est_suspecte
TXN-000001,CLT-0008,2026-01-22 14:42:30,957.59,EUR,Virement international,France,False
TXN-000002,CLT-0062,2025-07-18 14:42:30,295.25,EUR,Virement international,France,False
TXN-000003,CLT-0009,2026-02-07 14:42:30,52181.08,EUR,Virement international,France,True
TXN-000004,CLT-0073,2026-03-13 14:42:30,1183.67,EUR,Retrait,France,False
TXN-000005,CLT-0073,2025-07-19 14:42:30,2101.93,EUR,Virement international,Panama,False
TXN-000006,CLT-0031,2025-12-04 14:42:30,1029.25,EUR,Dépôt,Îles Caïmans,False
TXN-000007,CLT-0041,2025-09-21 14:42:30,64158.57,EUR,Virement,France,True
TXN-000008,CLT-0010,2026-03-23 14:42:30,4992.29,EUR,Virement international,Allemagne,False
TXN-000009,CLT-0009,2025-11-16 14:42:30,670.96,EUR,Retrait,Panama,False
TXN-000010,CLT-0091,2025-08-08 14:42:30,2196.54,EUR,Dépôt,France,False
TXN-000011,CLT-0014,2025-06-08 14:42:30,2777.47,EUR,Retrait,Espagne,False
TXN-000012,CLT-0020,2025-08-03 14:42:30,17312.13,EUR,Dépôt,Espagne,True
TXN-000013,CLT-0088,2026-01-29 14:42:30,3590.88,EUR,Dépôt,Russie,False
TXN-000014,CLT-0012,2026-04-17 14:42:30,4541.71,EUR,Paiement carte,Espagne,False
TXN-000015,CLT-0082,2026-03-08 14:42:30,37019.42,EUR,Dépôt,France,True
TXN-000016,CLT-0072,2025-10-07 14:42:30,2762.89,EUR,Virement,France,False
TXN-000017,CLT-0070,2026-02-26 14:42:30,84830.26,EUR,Virement,Panama,True
TXN-000018,CLT-0006,2026-03-09 14:42:30,748.99,EUR,Dépôt,Panama,False
TXN-000019,CLT-0046,2026-04-23 14:42:30,3982.65,EUR,Retrait,Allemagne,False
TXN-000020,CLT-0053,2025-07-31 14:42:30,1774.86,EUR,Virement international,France,False
TXN-000021,CLT-0023,2026-02-19 14:42:30,1191.32,EUR,Paiement carte,France,False
TXN-000022,CLT-0086,2025-10-15 14:42:30,4623.19,EUR,Retrait,Espagne,False
TXN-000023,CLT-0005,2025-10-30 14:42:30,3509.38,EUR,Paiement carte,Allemagne,False
TXN-000024,CLT-0040,2025-11-15 14:42:30,4593.07,EUR,Retrait,Allemagne,False
TXN-000025,CLT-0036,2025-11-26 14:42:30,24802.29,EUR,Virement,Espagne,True
TXN-000026,CLT-0069,2025-05-31 14:42:30,2551.93,EUR,Dépôt,France,False
TXN-000027,CLT-0075,2026-02-11 14:42:30,92424.85,EUR,Dépôt,France,True
TXN-000028,CLT-0056,2025-12-04 14:42:30,45807.05,EUR,Virement international,France,True
TXN-000029,CLT-0006,2026-01-03 14:42:30,2887.17,EUR,Paiement carte,France,False
TXN-000030,CLT-0093,2025-05-27 14:42:30,4034.49,EUR,Retrait,Panama,False
TXN-000031,CLT-0080,2025-11-25 14:42:30,4744.88,EUR,Dépôt,France,False
TXN-000032,CLT-0086,2025-12-06 14:42:30,1508.61,EUR,Paiement carte,Panama,False
TXN-000033,CLT-0025,2026-03-09 14:42:30,1485.32,EUR,Paiement carte,Îles Caïmans,False
TXN-000034,CLT-0073,2025-07-02 14:42:30,4515.0,EUR,Dépôt,Îles Caïmans,False
TXN-000035,CLT-0027,2025-12-18 14:42:30,12.03,EUR,Paiement carte,Panama,False
TXN-000036,CLT-0066,2026-01-24 14:42:30,2216.38,EUR,Paiement carte,France,False
TXN-000037,CLT-0082,2025-06-08 14:42:30,1426.09,EUR,Virement international,Panama,False
TXN-000038,CLT-0087,2026-01-13 14:42:30,90823.97,EUR,Dépôt,Allemagne,True
TXN-000039,CLT-0032,2026-04-20 14:42:30,745.3,EUR,Paiement carte,France,False
TXN-000040,CLT-0025,2025-07-23 14:42:30,4431.82,EUR,Paiement carte,Russie,False
TXN-000041,CLT-0001,2025-05-26 14:42:30,746.38,EUR,Virement,Îles Caïmans,False
TXN-000042,CLT-0067,2025-05-22 14:42:30,4022.51,EUR,Paiement carte,France,False
TXN-000043,CLT-0059,2026-03-12 14:42:30,4588.18,EUR,Retrait,Russie,False
TXN-000044,CLT-0041,2025-07-13 14:42:30,4939.58,EUR,Paiement carte,Îles Caïmans,False
TXN-000045,CLT-0096,2026-02-21 14:42:30,2743.88,EUR,Paiement carte,Russie,False
TXN-000046,CLT-0036,2025-06-21 14:42:30,1243.73,EUR,Virement international,Russie,False
TXN-000047,CLT-0092,2026-04-04 14:42:30,1380.24,EUR,Dépôt,Allemagne,False
TXN-000048,CLT-0011,2025-08-10 14:42:30,1605.35,EUR,Retrait,France,False
TXN-000049,CLT-0028,2025-05-17 14:42:30,3472.81,EUR,Virement,Îles Caïmans,False
TXN-000050,CLT-0008,2025-10-13 14:42:30,2717.63,EUR,Retrait,Îles Caïmans,False
TXN-000051,CLT-0003,2025-05-22 14:42:30,3851.28,EUR,Virement international,Îles Caïmans,False
TXN-000052,CLT-0097,2025-12-12 14:42:30,4714.28,EUR,Paiement carte,Îles Caïmans,False
TXN-000053,CLT-0029,2025-07-09 14:42:30,3675.82,EUR,Paiement carte,Allemagne,False
TXN-000054,CLT-0044,2025-10-26 14:42:30,2433.35,EUR,Paiement carte,France,False
TXN-000055,CLT-0069,2025-06-29 14:42:30,4598.51,EUR,Virement,Îles Caïmans,False
TXN-000056,CLT-0083,2026-04-01 14:42:30,3318.37,EUR,Paiement carte,France,False
TXN-000057,CLT-0049,2025-12-31 14:42:30,916.83,EUR,Dépôt,Allemagne,False
TXN-000058,CLT-0036,2025-10-31 14:42:30,1694.13,EUR,Paiement carte,Espagne,False
TXN-000059,CLT-0007,2025-08-10 14:42:30,2356.83,EUR,Dépôt,Allemagne,False
TXN-000060,CLT-0006,2025-06-14 14:42:30,3908.35,EUR,Virement,Allemagne,False
TXN-000061,CLT-0031,2026-02-24 14:42:30,111.7,EUR,Retrait,Russie,False
TXN-000062,CLT-0060,2026-01-22 14:42:30,2824.21,EUR,Dépôt,Panama,False
TXN-000063,CLT-0100,2026-03-16 14:42:30,3040.16,EUR,Retrait,Espagne,False
